topic,tier,session,signal,q,body,source,title,url,path
Branding & Identity,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,Eye on Design &#8211; AIGA Eye on Design,https://eyeondesign.aiga.org/category/design/profile/,
Web & UI,1,v2-overnight,8,1.00,8000,webdesignerdepot.com,Compilation: 15 Hilarious Google Flops,https://webdesignerdepot.com/compilation-15-hilarious-google-flops/,
Editorial & Print,1,v2-overnight,8,1.00,8000,webdesignerdepot.com,Compilation: 15 Hilarious Google Flops,https://webdesignerdepot.com/compilation-15-hilarious-google-flops/,
Photography,1,v2-overnight,8,1.00,8000,webdesignerdepot.com,Compilation: 15 Hilarious Google Flops,https://webdesignerdepot.com/compilation-15-hilarious-google-flops/,
Typography & Type,1,v2-overnight,8,1.00,8000,typographica.org,A Grammar of Typography: Classical Book Design in the Digital Age &#8211; Typogr,https://typographica.org/typography-books/a-grammar-of-typography-classical-book-design-in-the-digital-age/,
Process & Studio,1,v2-overnight,8,1.00,8000,typographica.org,A Grammar of Typography: Classical Book Design in the Digital Age &#8211; Typogr,https://typographica.org/typography-books/a-grammar-of-typography-classical-book-design-in-the-digital-age/,
Editorial & Print,1,v2-overnight,8,1.00,8000,typographica.org,A Grammar of Typography: Classical Book Design in the Digital Age &#8211; Typogr,https://typographica.org/typography-books/a-grammar-of-typography-classical-book-design-in-the-digital-age/,
Typography & Type,1,v2-overnight,8,0.99,8000,typographica.org,Size-specific Adjustments to Type Designs &#8211; Typographica,https://typographica.org/typography-books/size-specific-adjustments-to-type-designs/,
Material & 3D,1,v2-overnight,8,0.99,8000,typographica.org,Size-specific Adjustments to Type Designs &#8211; Typographica,https://typographica.org/typography-books/size-specific-adjustments-to-type-designs/,
Editorial & Print,1,v2-overnight,8,0.99,8000,typographica.org,Size-specific Adjustments to Type Designs &#8211; Typographica,https://typographica.org/typography-books/size-specific-adjustments-to-type-designs/,
Typography & Type,1,v2-overnight,8,0.88,8000,typographica.org,"The Elements of Typographic Style, Version&nbsp;4.0 &#8211; Typographica",https://typographica.org/typography-books/the-elements-of-typographic-style-4th-edition/,
Editorial & Print,1,v2-overnight,8,0.88,8000,typographica.org,"The Elements of Typographic Style, Version&nbsp;4.0 &#8211; Typographica",https://typographica.org/typography-books/the-elements-of-typographic-style-4th-edition/,
Typography & Type,1,v2-overnight,8,1.00,8000,typographica.org,Just My Type: A Book About Fonts &#8211; Typographica,https://typographica.org/typography-books/just-my-type-a-book-about-fonts/,
Color & Palette,1,v2-overnight,8,1.00,8000,typographica.org,Just My Type: A Book About Fonts &#8211; Typographica,https://typographica.org/typography-books/just-my-type-a-book-about-fonts/,
Editorial & Print,1,v2-overnight,8,1.00,8000,typographica.org,Just My Type: A Book About Fonts &#8211; Typographica,https://typographica.org/typography-books/just-my-type-a-book-about-fonts/,
Typography & Type,1,v2-overnight,8,0.90,8000,typographica.org,Chahine &#038; Samarskaya Cochair TDC’S 25th Type Design Competition &#8211; Typ,https://typographica.org/on-typography/interview/nadine-chahine-ksenya-samarskaya-cochair-the-tdcs-25th-typeface-design-competition/,
Branding & Identity,1,v2-overnight,8,0.90,8000,typographica.org,Chahine &#038; Samarskaya Cochair TDC’S 25th Type Design Competition &#8211; Typ,https://typographica.org/on-typography/interview/nadine-chahine-ksenya-samarskaya-cochair-the-tdcs-25th-typeface-design-competition/,
AI & Design,1,v2-overnight,8,0.90,8000,typographica.org,Chahine &#038; Samarskaya Cochair TDC’S 25th Type Design Competition &#8211; Typ,https://typographica.org/on-typography/interview/nadine-chahine-ksenya-samarskaya-cochair-the-tdcs-25th-typeface-design-competition/,
Typography & Type,1,v2-overnight,8,0.90,8000,typographica.org,Type Design in the Museum: Acquiring the Immaterial &#8211; Typographica,https://typographica.org/on-typography/type-design-in-the-museum-acquiring-the-immaterial/,
Material & 3D,1,v2-overnight,8,0.90,8000,typographica.org,Type Design in the Museum: Acquiring the Immaterial &#8211; Typographica,https://typographica.org/on-typography/type-design-in-the-museum-acquiring-the-immaterial/,
AI & Design,1,v2-overnight,8,0.90,8000,typographica.org,Type Design in the Museum: Acquiring the Immaterial &#8211; Typographica,https://typographica.org/on-typography/type-design-in-the-museum-acquiring-the-immaterial/,
